post_id,title,score,num_comments,author,category
47632763,I Gave an Claude Its Own Radio Station – It Won't Stop Broadcasting (It's Fine),13,4,eltokh7,general
47630582,Three main saturated fats raise your cholesterol,47,13,brandonb,technology
47588349,GitHub Monaspace Case Study,146,50,homebrewer,general
47624270,Q148637: Windows 95/98 Overwrites Boot-Sector Field on Floppy Disks (2001),10,3,TMWNN,general
47625629,Squarified Treemap Algorithm,13,4,downboots,general
47623053,"Show HN: Minimal Brain Teaser Web Game (Handcrafted, No AI)",25,14,arttaboi,technology
47587953,Slop is not necessarily the future,301,484,dakshgupta,general
47636203,"Scientists are working on ""everything vaccines""",48,56,andsoitis,general
47595572,Neanderthals survived on a knife's edge for 350k years,237,204,Hooke,general
47607394,SolveSpace (open source 2D/3D CAD) working on Windows 2000 (2025),40,6,ruevs,general
47609241,Trinity Large Thinking,56,17,kristianp,general
47624990,Adobe wrote to my hosts file. I've never had an app do this before,91,21,speckx,general
47587866,Microsoft: Copilot is for entertainment purposes only,578,200,lpcvoid,technology
47637472,European Commission cloud breach: a supply-chain compromise,16,0,Sandman,technology
47629505,Solana Drift Protocol drained of $285M via fake token and governance hijack,75,32,anonhaven,technology
47593285,MiniStack (replacement for LocalStack),316,67,kerblang,general
47638756,Slap: Functional Concatenative Language with a Borrow Checker?,10,0,birdculture,general
47636660,Systemd-free Modern Linux: artixlinux and dinit and labwc and noctalia shell,12,0,grigio,general
47598511,I quit. The clankers won,421,478,domysee,general
47634095,Wikidata for Developers,5,0,matthberg,general
47594936,GitHub has DMCA'd nearly all forks of the official Claude-code repo,52,50,cg505,general
47640048,Sam Altman's sister amends lawsuit accusing OpenAI CEO of sexual abuse,26,20,therobots927,technology
47613272,Tracing Goroutines in Realtime with eBPF,17,0,darccio,general
47605677,Signing data structures the wrong way,120,52,malgorithms,general
47603966,Show HN: Flight-Viz – 10K flights on a 3D globe in 3.5MB of Rust+WASM,88,45,coolwulf,general
47610336,r/programming bans all discussion of LLM programming,196,216,cryptoz,general
47636233,"Uber engineer alleges hostile 'boys club' culture, firing after cancer leave",21,1,nickvec,general
47633698,Flattening the Duck Curve: batteries reach 44% of evening demand in California,23,5,bronson,general
47602519,Default GraphQL response is now HTTP 500,34,4,markl42,general
47597085,Claude Code Unpacked : A visual guide,1110,403,autocracy101,general
47619990,The machines are fine. I'm worried about us,18,3,hmpc,general
47637083,Ask HN: Learning resources for building AI agents?,7,5,7e10,technology
47637343,Iran Threatens to Bomb 1GW Stargate AI Datacenter in Abu Dhabi,11,1,ZunarJ5,technology
47633568,Anthropic to limit Using third-party harnesses with Claude subscriptions,17,5,guiyuwei,general
47610534,"Vitalik Buterin – ""My self-sovereign / local / private / secure LLM setup""",34,6,derrida,general
47591928,GitHub's Historic Uptime,496,121,todsacerdoti,general
47639016,Show HN: Hacker News RSS Feed Directory,8,0,tamnd,general
47637077,Scientists mapped all the nerves of the clitoris for the first time,14,2,01-_-,general
47602879,StepFun 3.5 Flash is #1 cost-effective model for OpenClaw tasks (300 battles),174,84,skysniper,general
47621048,Why Doesn't Anybody Realize We're Going Back to the Moon?,87,148,paulpauper,general
47638842,Using a VPN May Subject You to NSA Spying,13,1,redeux,general
47622670,EmDash Feedback,40,6,batuhanicoz,general
47594804,Show HN: Claude Code rewritten as a bash script,59,19,rpst,general
47637714,"In California, wildfires are prevented by crews of unlikely firefighters: goats",7,2,thunderbong,general
47636101,AdGuard ad trackers What ad-based surveillance does to your traffic,10,1,XzetaU8,general
47632016,The danger of military AI isn't killer robots; it's worse human judgement,22,5,speckx,technology
47607468,Tracing goroutines in realtime with eBPF,23,3,sazak,general
47587597,Ask HN: Distributed data centers in our basements,73,65,cmos,general
47631444,Show HN: Run Claude Code autonomously inside your Docker Compose stack (OSS),8,0,sayil,general
47622110,NanoClaw's architecture is a masterclass in doing less,11,0,jonnonz,general
47636690,Mary Jo Foley: What the heck is going on with Microsoft lately?,16,2,thunderbong,general
47625682,Idiomatic Lisp and the Nbody Benchmark,30,0,signa11,general
47640137,Byte-Pair Encoding,9,0,tosh,technology
47589732,Forth VM and compiler written in C++ and Scryer Prolog,37,0,triska,general
47589370,Securing Elliptic Curve Cryptocurrencies Against Quantum Vulnerabilities [pdf],54,32,jandrewrogers,technology
47607923,"IPv6 address, as a sentence you can remember",78,129,LorenDB,general
47629385,Artemis II Looking Back at Earth,24,3,DarmokJalad1701,general
47636200,Donald Knuth: Open Letter to Condoleezza Rice (2002),13,3,car,general
47587935,Oracle slashes 30k jobs,913,845,pje,general
47634544,"The story that rocked the world: Ten years of the Panama Papers, part 1 – ICIJ",12,0,abdelhousni,worldnews
47629013,Mercurial Dyson – a plan for the disassembly of planet Mercury,56,46,indy,general
47603131,Google Cloud: Investing in the Future of PostgreSQL,33,8,kevincox,general
47645448,Budget cuts for US science proposed again by Trump administration,7,0,bhouston,technology
47600233,The Finest Swiss Quality Quaternions,39,4,hpb42,general
47604897,Apple at 50,125,75,janandonly,general
47612627,Zstandard Across the Stack,17,7,oddurmagnusson,general
47604245,Ukrainian drone holds position for 6 weeks,171,194,AftHurrahWinch,technology
47620381,AWS has officially removed all EC2 instances in Bahrain from their docs,57,1,mirzap,technology
47588324,Show HN: Sundial – a new way to look at a weather forecast,65,26,izaidi,general
47592626,Super Micro Computer Investors Look for Exits,41,25,malindasp,general
47588103,"On the trail of ancient art, deep in the Sahara",29,3,bookofjoe,technology
47589567,Scotty: A beautiful SSH task runner,67,30,speckx,general
47596457,Analyzing Geekbench 6 under Intel's BOT,41,15,hajile,general
47628083,Audit Claude Platform Activity with the Compliance API,5,0,gmays,general
47616050,March heat in American west has left snowpack at record-low levels,114,55,ijidak,general
47593015,Safe ways to do things in bash (2023),33,1,gautamsomani,general
47633464,Third-party Claude harnesses will now draw from extra usage,13,4,iBelieve,general
47617852,Show HN: Adentris (YC P25) – Find mistakes in your medical records,14,3,digitaltzar,general
47609294,The Claude Code Leak,198,180,mergesort,general
47635526,Did Anyone Predict the Industrial Revolution?,16,3,paulpauper,general
